
Alpha

~/ensino/private/E2/Alpha ~/ensino/private
Iota |asl54 - NOK - "line 7: syntax error"
Iota |asl55 - OK - "line 7: syntax error"
Iota |asl56 - OK - ""
Iota |asl57 - OK - ""
Iota |asl58 - OK - ""
Iota |asl59 - OK - ""
Iota |asl60 - OK - ""
Iota |asl61 - OK - "line 7: syntax error"
Iota |asl62 - OK - ""
Iota |asl63 - OK - ""
Iota |asl64 - OK - "line 7: syntax error"
Iota |asl65 - OK - ""
Iota |asl66 - OK - ""
Iota |asl67 - OK - "line 6: syntax error"
Iota |asl68 - OK - "line 6: syntax error"
Iota |asl69 - OK - "line 6: syntax error"
Iota |asl70 - OK - "line 8: syntax error"
Iota |asl71 - OK - "line 9: syntax error"
Iota |asl72 - OK - "line 13: syntax error"
Iota |asl73 - OK - "line 13: syntax error"
Iota |asl74 - OK - "line 6: syntax error"
Iota |asl75 - OK - "line 6: syntax error"
Iota |asl76 - OK - ""
Iota |asl77 - OK - ""
Iota |asl78 - OK - ""
Iota |asl79 - OK - ""
Iota |asl80 - OK - ""
Iota |asl81 - OK - ""
Iota |asl82 - OK - "line 2: syntax error"
Iota |asl83 - NOK - ""
Iota |asl84 - OK - "line 3: syntax error"
Iota |asl85 - OK - "line 4: syntax error"
Iota |asl86 - OK - "line 2: syntax error"
Iota |asl87 - NOK - ""
Iota |asl88 - OK - "line 6: syntax error"
Iota |asl89 - OK - "line 4: syntax error"
Iota |asl90 - OK - "line 7: syntax error"
Iota |asl91 - OK - "line 7: syntax error"
Iota |asl92 - OK - "line 4: syntax error"
Iota |asl93 - OK - "line 4: syntax error"
Iota |asl94 - OK - "line 4: syntax error"
Iota |asl95 - OK - "line 6: syntax error"
Iota |asl96 - OK - "line 3: syntax error"
Iota |asl97 - OK - "line 3: syntax error"
Iota |asl98 - OK - "line 2: syntax error"
Iota |asl99 - OK - "line 2: syntax error"
~/ensino/private

Kappa

~/ensino/private/E2/Kappa ~/ensino/private
Kappa |asl01 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl02 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl03 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl04 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl05 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl06 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl07 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl08 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl09 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl100 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl101 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl102 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl103 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl104 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl105 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl106 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl107 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl108 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl109 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl10 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl110 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl111 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl112 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl113 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl114 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl115 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl116 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl117 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl118 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl119 - OK - "-- Invalid input. Retorno: 1"
